id;nom;adresse;postal_code;city
1;reciprocal payment;Kuwait;Belize Dollar compressing Handcrafted;Mayertmouth
2;networks disintermediate array;foreground strategy Metrics;Money Market Account invoice;North Hymanstad
3;Program hard drive Gorgeous;Internal PNG;Kids neural;West Isai
4;Checking Account virtual Internal;Ergonomic quantify morph;index e-markets Cambridgeshire;East Bridgetland
5;Associate Solomon Islands Dollar;Savings Account Mouse back-end;Mill Ergonomic online;North Newellview
6;Dalasi;Idaho Villages Hryvnia;context-sensitive approach copying;South Ernestina
7;haptic;Grocery;Via Corporate Enhanced;Moriahland
8;Wisconsin Forward;Up-sized migration Avon;background Electronics;Alexaneside
9;Fantastic;Ball Gorgeous Wooden Pants;distributed sexy Gorgeous;Tateborough
10;withdrawal Executive;metrics;wireless SCSI Wyoming;Lake Malcolmshire
